Federal Open Market Committee Meeting Minutes, Transcripts, and Other Documents
https://fraser.stlouisfed.org/title/federal-open-market-committee-meeting-minutes-transcripts-documents-677?browse=2020s#584519

Meeting, April 15-16, 1974
Meeting, May 21, 1974
Meeting, June 18, 1974
Telephone Conference, July 5, 1974 : See July 16, 1974, for Record of Policy Actions
Meeting, July 16, 1974
Meeting, August 20, 1974
Meeting, September 10, 1974
Meeting, October 14-15, 1974
Meeting, November 19, 1974
Meeting, December 16-17, 1974
Meeting, January 20-21, 1975
Meeting, February 19, 1975
Meeting, March 18, 1975
Meeting, April 14-15, 1975
Meeting, May 20, 1975
Meeting, June 16-17, 1975
Meeting, July 15, 1975
Meeting, August 19, 1975
Meeting, September 16, 1975
Meeting, October 21, 1975
Meeting, November 18, 1975
Meeting, December 16, 1975
Meeting, January 20, 1976
Meeting, February 17-18, 1976
Meeting, March 15-16, 1976
Meeting, March 29, 1976
Meeting, April 20, 1976
Meeting, May 18, 1976
Meeting, June 22, 1976
Meeting, July 19-20, 1976
Meeting, August 17, 1976
Meeting, September 21, 1976
Meeting, October 19, 1976
Telephone Conference, November 8, 1976
Meeting, November 16, 1976
Meeting, December 20-21, 1976
Meeting, January 17-18, 1977
Meeting, February 15, 1977
Meeting, March 15, 1977
Meeting, April 19, 1977
Meeting, May 17, 1977
Telephone Conference, May 27, 1977
Meeting, June 21, 1977
Meeting, July 19, 1977
Meeting, August 16, 1977
Meeting, September 20, 1977
Meeting, October 17-18, 1977
Meeting, November 15, 1977
Meeting, December 19-20, 1977
Telephone Conference, January 5, 1978 : Transcript
Meeting, January 17, 1978
Meeting, February 28, 1978
Telephone Conference, March 10, 1978
Meeting, March 21, 1978
Meeting, April 18, 1978
Telephone Conference, May 5, 1978
Meeting, May 16, 1978
Meeting, June 20, 1978
Meeting, July 18, 1978
Meeting, August 15, 1978
Telephone Conference, September 8, 1978 : Minutes of Actions
Meeting, September 19, 1978
Meeting, October 17, 1978
Meeting, November 21, 1978
Meeting, December 19, 1978
Telephone Conference, January 12, 1979 : See February 6, 1979, for Record of Policy Actions
Meeting, February 6, 1979
Telephone Conference, March 2, 1979 : Minutes of Actions
Meeting, March 20, 1979
Meeting, April 17, 1979
Telephone Conference, April 27, 1979
Meeting, May 22, 1979
Telephone Conference, June 27, 1979
Meeting, July 11, 1979
Telephone Conference, July 17, 1979
Telephone Conference, July 19, 1979
Meeting, August 14, 1979
Meeting, September 18, 1979
Telephone Conference, October 5, 1979
Meeting, October 6, 1979
Telephone Conference, October 22, 1979
Meeting, November 20, 1979

Meeting, January 8-9, 1980
Meeting, February 4-5, 1980
Telephone Conference, February 22, 1980 : See March 18, 1980, for Record of Policy Actions
Telephone Conference, March 7, 1980
Meeting, March 18, 1980
Meeting, April 22, 1980
Telephone Conference, April 29, 1980
Telephone Conference, May 6, 1980
Meeting, May 20, 1980
Telephone Conference, June 5, 1980
Meeting, July 9, 1980
Telephone Conference, July 25, 1980
Meeting, August 12, 1980
Telephone Conference, August 22, 1980
Meeting, September 16, 1980
Meeting, October 21, 1980
Meeting, November 18, 1980
Telephone Conference, November 26, 1980
Telephone Conference, December 5, 1980
Telephone Conference, December 12, 1980
Meeting, December 18-19, 1980
Meeting, February 2-3, 1981
Telephone Conference, February 24, 1981
Meeting, March 31, 1981
Telephone Conference, April 28, 1981
Telephone Conference, May 6, 1981
Meeting, May 18, 1981
Telephone Conference, June 17, 1981
Meeting, July 6-7, 1981
Telephone Conference, July 17, 1981
Telephone Conference, August 7, 1981
Meeting, August 18, 1981
Meeting, October 5-6, 1981
Meeting, November 17, 1981
Meeting, December 21-22, 1981
Meeting, February 1-2, 1982
Meeting, March 29-30, 1982
Meeting, May 18, 1982
Telephone Conference, May 20, 1982
Meeting, June 30-July 1, 1982
Telephone Conference, July 15, 1982
Meeting, August 24, 1982
Telephone Conference, September 24, 1982
Meeting, October 5, 1982
Meeting, November 16, 1982
Meeting, December 20-21, 1982
Telephone Conference, January 14, 1983
Telephone Conference, January 21, 1983
Telephone Conference, January 28, 1983 : See December 21, 1982, for Record of Policy Actions
Meeting, February 8-9, 1983
Meeting, March 28-29, 1983
Telephone Conference, April 29, 1983
Meeting, May 24, 1983
Telephone Conference, June 23, 1983
Meeting, July 12-13, 1983
Meeting, August 23, 1983
Telephone Conference, September 8, 1983
Meeting, October 4, 1983
Meeting, November 14-15, 1983
Meeting, December 19-20, 1983
Meeting, January 30-31, 1984
Telephone Conference, March 20, 1984 : See January 31, 1984, for Record of Policy Actions
Meeting, March 26-27, 1984
Meeting, May 21-22, 1984
Meeting, July 16-17, 1984
Meeting, August 21, 1984
Meeting, October 2, 1984
Meeting, November 7, 1984
Meeting, December 17-18, 1984
Telephone Conference, January 18, 1985
Meeting, February 12-13, 1985
Meeting, March 26, 1985
Meeting, May 21, 1985
Meeting, July 9-10, 1985
Meeting, August 20, 1985
Telephone Conference, September 23, 1985 : See August 20, 1985, for Record of Policy Actions
Meeting, October 1, 1985
Meeting, November 4-5, 1985
Meeting, December 16-17, 1985
Meeting, February 11-12, 1986
Meeting, April 1, 1986
Telephone Conference, April 21, 1986 : See April 1, 1986, for Record of Policy Actions
Meeting, May 20, 1986
Meeting, July 8-9, 1986
Meeting, August 19, 1986
Meeting, September 23, 1986
Meeting, November 5, 1986
Meeting, December 15-16, 1986
Meeting, February 10-11, 1987
Telephone Conference, February 23, 1987 : See February 11, 1987, for Record of Policy Actions
Meeting, March 31, 1987
Telephone Conference, April 29, 1987
Meeting, May 19, 1987
Meeting, July 7, 1987
Meeting, August 18, 1987
Meeting, September 22, 1987
Telephone Conferences, October 19-30, 1987 : Transcript
Meeting, November 3, 1987
Meeting, December 15-16, 1987
Telephone Conference, January 5, 1988
Meeting, February 9-10, 1988
Meeting, March 29, 1988
Meeting, May 17, 1988
Meeting, June 29-30, 1988
Telephone Conference, July 19, 1988
Meeting, August 16, 1988
Meeting, September 20, 1988
Telephone Conference, October 17, 1988
Meeting, November 1, 1988
Telephone Conference, November 22, 1988
Meeting, December 13-14, 1988
Meeting, February 7-8, 1989
Meeting, March 28, 1989
Meeting, May 16, 1989
Telephone Conference, May 31, 1989
Telephone Conference, June 5, 1989
Meeting, July 5-6, 1989
Telephone Conference, July 26, 1989
Meeting, August 22, 1989
Meeting, October 3, 1989
Telephone Conference, October 16, 1989
Telephone Conference, October 17, 1989
Telephone Conference, October 18, 1989
Meeting, November 14, 1989
Meeting, December 18-19, 1989

Meeting, February 6-7, 1990
Task Force on System Foreign Currency Operations
Meeting, March 27, 1990
Telephone Conference, April 11, 1990
Meeting, May 15, 1990
Meeting, July 2-3, 1990
Meeting, August 21, 1990
Telephone Conference, September 7, 1990
Telephone Conference, September 17, 1990
Meeting, October 2, 1990
Meeting, November 13, 1990
Telephone Conference, December 7, 1990
Meeting, December 18, 1990
Telephone Conference, January 9, 1991
Telephone Conference, February 1, 1991
Meeting, February 5-6, 1991
Meeting, March 26, 1991
Telephone Conference, April 12, 1991
Telephone Conference, April 30, 1991
Telephone Conference, May 1, 1991
Meeting, May 14, 1991
Telephone Conference, June 10, 1991
Telephone Conference, June 24, 1991
Meeting, July 2-3, 1991
Telephone Conference, August 5, 1991
Meeting, August 20, 1991
Telephone Conference, September 13, 1991
Meeting, October 1, 1991
Telephone Conference, October 30, 1991
Meeting, November 5, 1991
Telephone Conference, December 2, 1991
Meeting, December 17, 1991
Telephone Conference, January 9, 1992
Meeting, February 4-5, 1992
Telephone Conference, March 11, 1992
Meeting, March 31, 1992
Meeting, May 19, 1992
Meeting, June 30-July 1, 1992
Telephone Conference, July 2, 1992
Meeting, August 18, 1992
Meeting, October 6, 1992
Meeting, November 17, 1992
Telephone Conference, December 14, 1992
Meeting, December 22, 1992
Telephone Conference, January 6, 1993
Meeting, February 2-3, 1993
Telephone Conference, February 18, 1993
Telephone Conference, March 1, 1993
Meeting, March 23, 1993
Meeting, May 18, 1993
Meeting, July 6-7, 1993
Meeting, August 17, 1993
Meeting, September 21, 1993
Telephone Conference, October 5, 1993
Telephone Conference, October 15, 1993
Telephone Conference, October 22, 1993
Telephone Conference, November 9, 1993
Telephone Conference, November 10, 1993
Meeting, November 16, 1993
Meeting, December 21, 1993
Meeting, February 3-4, 1994
Telephone Conference, February 28, 1994
Meeting, March 22, 1994
Telephone Conference, March 24, 1994
Telephone Conference, April 18, 1994
Meeting, May 17, 1994
Meeting, July 5-6, 1994
Telephone Conference, July 20, 1994
Meeting, August 16, 1994
Meeting, September 27, 1994
Meeting, November 15, 1994
Meeting, December 20, 1994
Telephone Conference, December 30, 1994
Telephone Conference, January 13, 1995
Meeting, January 31-February 1, 1995
Telephone Conference, March 10, 1995
Meeting, March 28, 1995
Telephone Conference, April 28, 1995
Meeting, May 23, 1995
Meeting, July 5-6, 1995
Meeting, August 22, 1995
Meeting, September 26, 1995
Meeting, November 15, 1995
Meeting, December 19, 1995
Meeting, January 30-31, 1996
Meeting, March 26, 1996
Meeting, May 21, 1996
Meeting, July 2-3, 1996
Meeting, August 20, 1996
Meeting, September 24, 1996
Meeting, November 13, 1996
Meeting, December 17, 1996
Meeting, February 4-5, 1997
Meeting, March 25, 1997
Meeting, May 20, 1997
Meeting, July 1-2, 1997
Meeting, August 19, 1997
Meeting, September 30, 1997
Meeting, November 12, 1997
Meeting, December 16, 1997
Meeting, February 3-4, 1998
Meeting, March 31, 1998
Meeting, May 19, 1998
Meeting, June 30-July 1, 1998
Meeting, August 18, 1998
Telephone Conference, September 21, 1998
Meeting, September 29, 1998
Telephone Conference, October 15, 1998
Meeting, November 17, 1998
Meeting, December 22, 1998
Meeting, February 2-3, 1999
Meeting, March 30, 1999
Meeting, May 18, 1999
Meeting, June 29-30, 1999
Meeting, August 24, 1999
Meeting, October 5, 1999
Meeting, November 16, 1999
Meeting, December 21, 1999

Meeting, February 1-2, 2000
Meeting, March 21, 2000
Meeting, May 16, 2000
Meeting, June 27-28, 2000
Meeting, August 22, 2000
Meeting, October 3, 2000
Meeting, November 15, 2000
Meeting, December 19, 2000
Telephone Conference, January 3, 2001
Meeting, January 30-31, 2001
Meeting, March 20, 2001
Telephone Conference, April 11, 2001 : Transcript
Telephone Conference, April 18, 2001
Meeting, May 15, 2001
Meeting, June 26-27, 2001
Meeting, August 21, 2001
Telephone Conference, September 13, 2001 : Transcript
Telephone Conference, September 17, 2001
Meeting, October 2, 2001
Meeting, November 6, 2001
Meeting, December 11, 2001
Meeting, January 29-30, 2002
Meeting, March 19, 2002
Meeting, May 7, 2002
Meeting, June 25-26, 2002
Meeting, August 13, 2002
Meeting, September 24, 2002
Meeting, November 6, 2002
Meeting, December 10, 2002
Meeting, January 28-29, 2003
Meeting, March 18, 2003
Telephone Conference, March 25, 2003
Telephone Conference, April 1, 2003
Telephone Conference, April 8, 2003
Telephone Conference, April 16, 2003
Meeting, May 6, 2003
Meeting, June 24-25, 2003
Meeting, August 12, 2003
Meeting, September 15, 2003
Meeting, September 16, 2003
Meeting, October 28, 2003
Meeting, December 9, 2003
Meeting, January 27-28, 2004
Meeting, March 16, 2004
Meeting, May 4, 2004
Meeting, June 29-30, 2004
Meeting, August 10, 2004
Meeting, September 21, 2004
Meeting, November 10, 2004
Meeting, December 14, 2004
Meeting, February 1-2, 2005
Meeting, March 22, 2005
Meeting, May 3, 2005
Meeting, June 29-30, 2005
Meeting, August 9, 2005
Meeting, September 20, 2005
Meeting, November 1, 2005
Meeting, December 13, 2005
Meeting, January 31, 2006
Meeting, March 27-28, 2006
Meeting, May 10, 2006
Meeting, June 28-29, 2006
Meeting, August 8, 2006
Meeting, September 20, 2006
Meeting, October 24-25, 2006
Meeting, December 12, 2006
Meeting, January 30-31, 2007
Meeting, March 20-21, 2007
Meeting, May 9, 2007
Meeting, June 27-28, 2007
Meeting, August 7, 2007
Telephone Conference, August 10, 2007
Telephone Conference, August 16, 2007
Meeting, September 18, 2007
Meeting, October 30-31, 2007
Telephone Conference, December 6, 2007
Meeting, December 11, 2007
Telephone Conference, January 9, 2008
Telephone Conference, January 21, 2008
Meeting, January 29-30, 2008
Telephone Conference, March 10, 2008
Meeting, March 18, 2008
Meeting, April 29-30, 2008
Meeting, June 24-25, 2008
Telephone Conference, July 24, 2008 : Transcript
Meeting, August 5, 2008
Meeting, September 16, 2008
Telephone Conference, September 29, 2008 : Transcript
Telephone Conference, October 7, 2008
Meeting, October 28-29, 2008
Meeting, December 15-16, 2008
Telephone Conference, January 16, 2009
Meeting, January 28-29, 2009
Telephone Conference, February 7, 2009
Meeting, March 17-18, 2009
Meeting, April 28-29, 2009
Telephone Conference, June 3, 2009
Meeting, June 23-24, 2009
Meeting, August 11-12, 2009
Meeting, September 22-23, 2009
Meeting, November 3-4, 2009
Meeting, December 15-16, 2009

Meeting, January 26-27, 2010
Meeting, March 16, 2010
Meeting, April 27-28, 2010
Telephone Conference, May 9, 2010
Meeting, June 23-24, 2010
Meeting, August 10, 2010
Meeting, September 21, 2010
Videoconference, October 15, 2010
Meeting, November 2-3, 2010
Meeting, December 14, 2010
Meeting, January 25-26, 2011
Meeting, March 15, 2011
Meeting, April 26-27, 2011
Meeting, June 21-22, 2011
Videoconference, August 1, 2011
Meeting, August 9, 2011
Meeting, September 20-21, 2011
Meeting, November 1-2, 2011
Videoconference, November 28, 2011
Meeting, December 13, 2011
Meeting, January 24-25, 2012
FOMC Meeting Transcripts and Materials for 2007-2010
Meeting, March 13, 2012
Meeting, April 24-25, 2012
Meeting, June 19-20, 2012
Meeting, July 31-August 1, 2012
Meeting, September 12-13, 2012
Meeting, October 23-24, 2012
Meeting, December 11-12, 2012
Meeting, January 29-30, 2013
Meeting, March 19-20, 2013
Meeting, April 30-May 1, 2013
Meeting, June 18-19, 2013
Meeting, July 30-31, 2013
Meeting, September 18-19, 2013
Videoconference, October 16, 2013
Meeting, October 29-30, 2013
Meeting, December 17-18, 2013
Meeting, January 28-29, 2014
Videoconference, March 4, 2014
Meeting, March 18-19, 2014
Updated Historical Forecast Errors
Meeting, April 29-30, 2014
Meeting, June 17-18, 2014
Meeting, July 29-30, 2014
Meeting, September 16-17, 2014
Meeting, October 28-29, 2014
Meeting, December 16-17, 2014
Meeting, January 27-28, 2015
Meeting, March 17-18, 2015
Meeting, April 28-29, 2015
Meeting, June 16-17, 2015
Meeting, July 28-29, 2015
Meeting, September 16-17, 2015
Meeting, October 27-28, 2015
Meeting, December 15-16, 2015
Meeting, January 26-27, 2016
Meeting, March 15-16, 2016
Meeting, April 26-27, 2016
Meeting, June 14-15, 2016
Meeting, July 26-27, 2016
Meeting, September 20-21, 2016
Meeting, November 1-2, 2016
Meeting, December 13-14, 2016
Meeting, January 31-February 1, 2017
Meeting, March 14-15, 2017
Meeting, May 2-3, 2017
Meeting, June 13-14, 2017
Meeting, July 25-26, 2017
Meeting, September 19-20, 2017
Meeting, October 31-November 1, 2017
Meeting, December 12-13, 2017
Meeting, January 30-31, 2018
Meeting, March 20-21, 2018
Meeting, May 1-2, 2018
Meeting, June 12-13, 2018
Meeting, July 31-August 1, 2018
Meeting, September 25-26, 2018
Meeting, November 7-8, 2018
Meeting, December 18-19, 2018
Meeting, January 29-30, 2019
Meeting, March 19-20, 2019
Meeting, April 30-May 1, 2019
Meeting, June 18-19, 2019
Meeting, July 30-31, 2019
Changes in the Intended Federal Funds Rate
Meeting, September 17-18, 2019
Meeting, October 4, 2019 (Unscheduled)
Meeting, October 29-30, 2019
Meeting, December 10-11, 2019

Meeting, January 28-29, 2020
Meeting, March 3, 2020 (Unscheduled)
Meeting, March 15, 2020 (Unscheduled)
Meeting, March 17-18, 2020 (Cancelled)
Meeting, March 19, 2020 (Notation Vote)
Meeting, March 23, 2020 (Notation Vote)
Meeting, March 31, 2020 (Notation Vote)
Meeting, April 28-29, 2020
Meeting, June 9-10, 2020
Meeting, July 28-29, 2020
Meeting, August 27, 2020 (Notation Vote)
Meeting, September 15-16, 2020
Meeting, November 4-5, 2020
Meeting, December 15-16, 2020
Meeting, January 26-27, 2021
Meeting, March 16-17, 2021
Meeting, April 27-28, 2021
Meeting, June 15-16, 2021
Meeting, July 27-28, 2021
Meeting, September 21-22, 2021
Meeting, November 2-3, 2021
Meeting, December 14-15, 2021
Meeting, January 25-26, 2022
Meeting, March 15-16, 2022
Meeting, May 3-4, 2022
Meeting, June 14-15, 2022
Meeting, July 26-27, 2022
Meeting, September 20-21, 2022
Meeting, November 1-2, 2022
Meeting, December 13-14, 2022
Meeting, January 31-February 1, 2023
Meeting, March 21-22, 2023
Meeting, May 2-3, 2023
Meeting, June 13-14, 2023
Meeting, July 25-26, 2023
Meeting, September 19-20, 2023
Meeting, October 31-November 1, 2023
Meeting, December 12-13, 2023
Meeting, January 30-31, 2024
Meeting, March 19-20, 2024
Meeting, April 30-May 1, 2024
Meeting, June 11-12, 2024
Meeting, July 30-31, 2024
Meeting, September 17-18, 2024
Meeting, November 6-7, 2024
Meeting, December 17-18, 2024
Meeting, January 28-29, 2025
Meeting, March 18-19, 2025
Meeting, May 6-7, 2025
Meeting, June 17-18, 2025
Meeting, July 29-30, 2025
Meeting, August 22, 2025 (Notation Vote) : Statement on Longer-Run Goals and Monetary Policy Strategy
Meeting, September 16-17, 2025
Meeting, October 28-29, 2025


